label,count,token_count,token_mean,token_std,token_min,token_max,url_count,url_mean,url_std,url_min,url_max,date_count,date_mean,date_std,date_min,date_max,number_count,number_mean,number_std,number_min,number_max
bias,70559,70559,479.2239685936592,412.453909227595,30,2673,70559,0.14392210773962216,0.838235357895998,0,43,70559,0.5086381609716691,1.307260999367687,0,88,70559,6.898638019246304,11.519063704455318,0,894
clickbait,18129,18129,472.47989409233827,335.330667667494,39,2560,18129,0.7062717193446963,2.0606515443202986,0,35,18129,2.24204313530807,4.815063578185732,0,89,18129,9.586298196260136,11.78911082356329,0,225
conspiracy,45357,45357,547.6572745111008,444.1489069502771,35,2724,45357,0.3565271071719911,1.6139507997132119,0,93,45357,0.634455541592257,1.7386083066148197,0,112,45357,8.386290980444032,13.220177175270036,0,552
fake,45635,45635,489.0339432453161,422.97991227564563,38,2740,45635,0.6796756875205434,1.4616945219259754,0,57,45635,0.3972608743289142,1.3898240077927262,0,92,45635,8.369694313575106,15.155706865084873,0,930
hate,6300,6300,563.9128571428571,440.550961533067,39,2623,6300,0.06492063492063492,0.5776866097617371,0,24,6300,0.33555555555555555,1.2353674060237956,0,64,6300,7.934285714285714,10.815867196852718,0,333
junksci,8724,8724,571.1938331040807,417.52776338707906,46,2534,8724,0.6266620816139385,1.6483300707040536,0,20,8724,0.24793672627235214,1.135516860193493,0,37,8724,7.491861531407611,12.15658207061913,0,317
nan,32006,32006,439.11929013310004,349.0649757032482,38,2580,32006,0.4406986190089358,1.1515884280450595,0,55,32006,0.42660751109167033,1.6609536835121421,0,79,32006,8.217896644379179,21.815375115137844,0,3210
political,144142,144142,518.8366610703334,400.2035295868643,34,2850,144142,0.13393736731833886,0.7617587742150418,0,56,144142,0.6775263282041321,1.672932726848126,0,86,144142,8.268492181321196,17.78044369111819,0,2404
reliable,117317,117317,327.67902350043045,294.81303640806414,30,2598,117317,0.07033081309614123,0.4377677485009465,0,34,117317,0.5016408534142537,1.231046142171592,0,65,117317,8.502356862176837,16.392790063022797,0,1549
rumor,43635,43635,308.928108170047,242.7614906023521,39,2249,43635,0.01338375157557007,0.19587729098094045,0,10,43635,0.4922883006760628,1.0463768130150688,0,37,43635,6.013246247278561,7.7086816773035505,0,327
satire,8439,8439,345.1890034364261,225.16609912091747,39,2397,8439,0.060315203223130706,0.3273487347846597,0,7,8439,0.2842753880791563,1.0359701693237375,0,33,8439,4.115061026187937,6.914106404371048,0,139
unknown,24275,24275,599.9113491246138,497.5528342520292,34,2663,24275,0.4001235839340886,1.4589840239890677,0,45,24275,0.6327909371781668,1.8611392413119532,0,61,24275,9.992049433573635,14.69290932981897,0,263
unreliable,27224,27224,317.1763150161622,319.3339711325803,40,2409,27224,0.04819277108433735,0.4317499145325274,0,27,27224,0.6679767851895386,2.1060259644562467,0,126,27224,8.587496326770497,21.561999787645046,0,401
