label,quantile,token_count
fake,0.0,38.0
fake,0.1,95.0
fake,0.25,173.0
fake,0.5,361.0
fake,0.75,663.5
fake,0.9,1078.0
fake,0.95,1390.0
fake,0.99,1935.6599999999962
fake,1.0,2740.0
nan,0.0,38.0
nan,0.1,97.0
nan,0.25,184.0
nan,0.5,348.0
nan,0.75,594.0
nan,0.9,901.0
nan,0.95,1131.0
nan,0.99,1685.0
nan,1.0,2580.0
conspiracy,0.0,35.0
conspiracy,0.1,110.0
conspiracy,0.25,209.0
conspiracy,0.5,419.0
conspiracy,0.75,754.0
conspiracy,0.9,1191.0
conspiracy,0.95,1476.199999999997
conspiracy,0.99,1975.0
conspiracy,1.0,2724.0
political,0.0,34.0
political,0.1,130.0
political,0.25,282.0
political,0.5,344.0
political,0.75,706.0
political,0.9,1029.0
political,0.95,1330.0
political,0.99,1918.0
political,1.0,2850.0
bias,0.0,30.0
bias,0.1,114.0
bias,0.25,184.0
bias,0.5,335.0
bias,0.75,645.0
bias,0.9,1069.0
bias,0.95,1362.0
bias,0.99,1916.4199999999983
bias,1.0,2673.0
junksci,0.0,46.0
junksci,0.1,114.0
junksci,0.25,174.0
junksci,0.5,553.0
junksci,0.75,722.0
junksci,0.9,1114.0
junksci,0.95,1439.0
junksci,0.99,1954.7700000000004
junksci,1.0,2534.0
unreliable,0.0,40.0
unreliable,0.1,156.0
unreliable,0.25,156.0
unreliable,0.5,156.0
unreliable,0.75,396.0
unreliable,0.9,750.0
unreliable,0.95,1023.0
unreliable,0.99,1599.5400000000009
unreliable,1.0,2409.0
clickbait,0.0,39.0
clickbait,0.1,94.0
clickbait,0.25,212.0
clickbait,0.5,405.0
clickbait,0.75,662.0
clickbait,0.9,924.0
clickbait,0.95,1109.0
clickbait,0.99,1465.7200000000012
clickbait,1.0,2560.0
satire,0.0,39.0
satire,0.1,61.0
satire,0.25,178.0
satire,0.5,350.0
satire,0.75,455.0
satire,0.9,591.1999999999998
satire,0.95,715.0
satire,0.99,1081.8600000000024
satire,1.0,2397.0
reliable,0.0,30.0
reliable,0.1,76.0
reliable,0.25,128.0
reliable,0.5,235.0
reliable,0.75,409.0
reliable,0.9,735.0
reliable,0.95,948.0
reliable,0.99,1409.8399999999965
reliable,1.0,2598.0
unknown,0.0,34.0
unknown,0.1,79.0
unknown,0.25,205.0
unknown,0.5,454.0
unknown,0.75,865.5
unknown,0.9,1342.0
unknown,0.95,1655.2999999999993
unknown,0.99,2050.519999999997
unknown,1.0,2663.0
hate,0.0,39.0
hate,0.1,141.0
hate,0.25,244.0
hate,0.5,436.5
hate,0.75,757.25
hate,0.9,1190.0
hate,0.95,1492.199999999997
hate,0.99,2039.0100000000002
hate,1.0,2623.0
rumor,0.0,39.0
rumor,0.1,90.0
rumor,0.25,128.0
rumor,0.5,245.0
rumor,0.75,407.0
rumor,0.9,607.0
rumor,0.95,775.0
rumor,0.99,1219.6599999999962
rumor,1.0,2249.0
